Date,AAPL_Close,MSFT_Close
2018-01-02,42.0,90.0
2018-01-03,41.41,88.79
2018-01-04,41.25,88.18
2018-01-05,41.75,89.77
2018-01-08,43.26,92.13
2018-01-09,42.26,90.09
2018-01-10,41.46,88.75
2018-01-11,41.78,88.71
2018-01-12,40.92,86.95
2018-01-15,40.08,85.03
2018-01-16,40.73,85.57
2018-01-17,40.87,86.0
2018-01-18,40.35,84.76
2018-01-19,40.56,84.06
2018-01-22,40.38,83.57
2018-01-23,39.92,82.86
2018-01-24,38.35,80.99
2018-01-25,38.88,82.41
2018-01-26,38.42,81.32
2018-01-29,38.32,82.16
2018-01-30,37.48,80.85
2018-01-31,37.87,82.42
2018-02-01,38.56,84.05
2018-02-02,39.7,87.4
2018-02-05,40.06,88.21
2018-02-06,40.89,90.24
2018-02-07,40.77,90.22
2018-02-08,39.89,88.63
2018-02-09,41.01,90.85
2018-02-12,41.07,90.32
2018-02-13,41.68,89.96
2018-02-14,41.65,90.33
2018-02-15,42.48,92.8
2018-02-16,43.95,95.13
2018-02-19,44.39,95.14
2018-02-20,45.4,96.97
2018-02-21,45.32,95.42
2018-02-22,46.54,97.99
2018-02-23,46.71,97.97
2018-02-26,47.5,99.41
2018-02-27,46.63,97.11
2018-02-28,47.04,97.26
2018-03-01,47.9,97.4
2018-03-02,48.22,96.92
2018-03-05,46.27,94.76
2018-03-06,46.17,95.49
2018-03-07,47.38,96.21
2018-03-08,46.78,95.36
2018-03-09,46.53,95.55
2018-03-12,46.07,94.8
2018-03-13,46.57,95.56
2018-03-14,45.77,95.59
2018-03-15,45.14,93.53
2018-03-16,45.74,95.46
2018-03-19,43.68,93.08
2018-03-20,42.61,90.74
2018-03-21,41.56,89.41
2018-03-22,41.56,91.52
2018-03-23,40.92,91.41
2018-03-26,40.21,90.3
2018-03-27,38.52,86.41
2018-03-28,37.79,86.47
2018-03-29,37.45,86.68
2018-03-30,36.38,84.27
2018-04-02,36.39,84.71
2018-04-03,37.62,87.65
2018-04-04,38.84,89.87
2018-04-05,38.89,90.01
2018-04-06,38.82,89.75
2018-04-09,38.33,87.95
2018-04-10,38.29,87.36
2018-04-11,37.57,86.09
2018-04-12,37.66,85.88
2018-04-13,37.62,84.85
2018-04-16,37.29,84.31
2018-04-17,36.84,83.99
2018-04-18,36.82,82.84
2018-04-19,36.66,82.83
2018-04-20,36.08,82.22
2018-04-23,36.76,83.22
2018-04-24,37.71,85.14
2018-04-25,37.78,85.32
2018-04-26,37.36,84.79
2018-04-27,37.38,84.52
2018-04-30,37.29,84.89
2018-05-01,37.01,84.31
2018-05-02,35.89,82.79
2018-05-03,36.57,83.51
2018-05-04,37.55,85.25
2018-05-07,37.77,86.3
2018-05-08,37.49,86.27
2018-05-09,37.32,85.3
2018-05-10,37.95,86.27
2018-05-11,37.39,85.27
2018-05-14,36.72,84.93
2018-05-15,36.12,83.49
2018-05-16,36.27,83.44
2018-05-17,36.24,83.65
2018-05-18,36.26,84.37
2018-05-21,37.27,87.12
2018-05-22,37.62,87.19
2018-05-23,37.55,86.64
2018-05-24,37.49,86.87
2018-05-25,39.03,89.36
2018-05-28,39.81,90.42
2018-05-29,41.23,92.75
2018-05-30,41.2,92.66
2018-05-31,42.54,93.84
2018-06-01,43.39,95.14
2018-06-04,42.97,95.31
2018-06-05,42.74,95.9
2018-06-06,41.51,93.71
2018-06-07,41.65,94.38
2018-06-08,42.09,94.17
2018-06-11,41.75,93.14
2018-06-12,41.82,94.16
2018-06-13,43.22,97.31
2018-06-14,43.98,99.27
2018-06-15,44.62,98.94
2018-06-18,43.58,96.77
2018-06-19,43.9,98.23
2018-06-20,42.28,96.14
2018-06-21,43.31,98.56
2018-06-22,43.05,97.99
2018-06-25,43.08,98.52
2018-06-26,42.76,98.5
2018-06-27,42.81,98.61
2018-06-28,42.76,96.81
2018-06-29,43.47,98.3
2018-07-02,43.68,98.95
2018-07-03,42.41,98.09
2018-07-04,42.18,98.0
2018-07-05,43.39,99.23
2018-07-06,44.05,101.0
2018-07-09,44.02,100.86
2018-07-10,42.93,99.17
2018-07-11,42.91,100.92
2018-07-12,42.28,101.14
2018-07-13,42.53,102.63
2018-07-16,41.8,101.0
2018-07-17,42.45,101.89
2018-07-18,43.39,105.63
2018-07-19,44.32,107.26
2018-07-20,44.96,108.49
2018-07-23,43.9,106.76
2018-07-24,44.47,109.1
2018-07-25,43.91,108.68
2018-07-26,45.82,111.68
2018-07-27,47.07,114.27
2018-07-30,45.69,111.1
2018-07-31,45.58,111.08
2018-08-01,44.69,111.45
2018-08-02,43.84,111.39
2018-08-03,44.51,113.37
2018-08-06,43.42,110.49
2018-08-07,42.34,107.84
2018-08-08,42.02,106.57
2018-08-09,41.86,105.44
2018-08-10,41.98,105.99
2018-08-13,42.59,106.91
2018-08-14,42.39,105.36
2018-08-15,43.02,105.43
2018-08-16,43.12,105.68
2018-08-17,42.89,105.53
2018-08-20,43.13,106.29
2018-08-21,42.62,105.81
2018-08-22,42.96,104.83
2018-08-23,42.98,105.44
2018-08-24,42.15,102.55
2018-08-27,41.36,100.61
2018-08-28,41.97,100.5
2018-08-29,40.43,97.32
2018-08-30,41.41,100.04
2018-08-31,42.58,103.1
2018-09-03,43.6,105.07
2018-09-04,42.5,103.66
2018-09-05,42.46,103.97
2018-09-06,42.27,103.65
2018-09-07,43.35,105.33
2018-09-10,42.71,106.0
2018-09-11,42.71,104.57
2018-09-12,43.56,106.6
2018-09-13,44.02,106.51
2018-09-14,44.38,107.2
2018-09-17,43.77,106.8
2018-09-18,43.33,107.65
2018-09-19,43.46,108.52
2018-09-20,44.22,109.94
2018-09-21,43.91,109.02
2018-09-24,44.89,111.53
2018-09-25,45.81,112.95
2018-09-26,44.48,111.4
2018-09-27,44.88,113.08
2018-09-28,44.37,111.91
2018-10-01,43.76,110.96
2018-10-02,44.56,113.71
2018-10-03,46.3,117.23
2018-10-04,46.18,117.21
2018-10-05,46.43,119.41
2018-10-08,46.7,119.16
2018-10-09,46.27,118.3
2018-10-10,46.6,116.88
2018-10-11,46.47,116.55
2018-10-12,47.08,119.33
2018-10-15,48.5,122.11
2018-10-16,48.83,123.08
2018-10-17,47.61,119.38
2018-10-18,47.16,116.89
2018-10-19,47.46,115.35
2018-10-22,47.0,116.31
2018-10-23,47.57,118.47
2018-10-24,46.4,115.3
2018-10-25,46.11,113.32
2018-10-26,45.8,113.08
2018-10-29,45.12,112.59
2018-10-30,46.49,116.34
2018-10-31,44.55,113.11
2018-11-01,45.5,113.49
2018-11-02,45.47,113.02
2018-11-05,46.72,115.23
2018-11-06,46.67,115.44
2018-11-07,46.51,114.94
2018-11-08,48.72,118.85
2018-11-09,48.49,118.09
2018-11-12,48.14,119.28
2018-11-13,48.58,121.14
2018-11-14,48.61,122.02
2018-11-15,48.51,122.84
2018-11-16,48.07,122.84
2018-11-19,48.63,122.67
2018-11-20,49.19,123.37
2018-11-21,49.21,123.17
2018-11-22,49.83,123.71
2018-11-23,50.71,127.21
2018-11-26,48.13,122.21
2018-11-27,48.32,122.21
2018-11-28,48.49,122.35
2018-11-29,48.39,121.65
2018-11-30,47.17,119.67
2018-12-03,47.01,121.95
2018-12-04,46.22,121.81
2018-12-05,45.5,119.99
2018-12-06,45.26,118.88
2018-12-07,46.21,120.24
2018-12-10,46.55,120.81
2018-12-11,46.19,120.07
2018-12-12,46.26,120.62
2018-12-13,45.66,118.91
2018-12-14,45.59,118.48
2018-12-17,46.89,120.44
2018-12-18,46.69,121.72
2018-12-19,46.44,121.41
2018-12-20,47.5,122.59
2018-12-21,47.53,122.12
2018-12-24,48.25,122.0
2018-12-25,47.44,121.23
2018-12-26,46.99,123.04
2018-12-27,46.01,119.7
2018-12-28,47.39,122.07
2018-12-31,46.21,117.74
2019-01-01,45.34,115.51
2019-01-02,44.87,116.78
2019-01-03,45.4,117.74
2019-01-04,45.77,119.67
2019-01-07,45.45,120.5
2019-01-08,45.96,121.91
2019-01-09,45.51,122.22
2019-01-10,44.51,120.01
2019-01-11,45.14,121.03
2019-01-14,44.91,121.7
2019-01-15,44.67,121.4
2019-01-16,44.75,120.67
2019-01-17,45.24,121.52
2019-01-18,44.43,119.65
2019-01-21,43.74,117.3
2019-01-22,44.08,118.41
2019-01-23,44.67,121.0
2019-01-24,44.87,119.88
2019-01-25,44.82,120.46
2019-01-28,45.27,121.82
2019-01-29,44.14,119.98
2019-01-30,43.48,120.26
2019-01-31,43.44,120.86
2019-02-01,43.8,120.87
2019-02-04,43.17,118.42
2019-02-05,43.88,119.87
2019-02-06,42.72,118.0
2019-02-07,43.14,118.5
2019-02-08,43.4,118.14
2019-02-11,42.79,115.51
2019-02-12,42.9,115.85
2019-02-13,41.51,112.25
2019-02-14,41.62,111.85
2019-02-15,41.51,110.86
2019-02-18,41.03,109.87
2019-02-19,41.27,109.6
2019-02-20,41.1,108.61
2019-02-21,41.89,110.73
2019-02-22,41.38,109.39
2019-02-25,41.96,109.23
2019-02-26,40.57,106.99
2019-02-27,40.23,105.53
2019-02-28,41.67,109.89
2019-03-01,41.47,109.09
2019-03-04,40.56,105.76
2019-03-05,40.73,105.23
2019-03-06,41.33,107.39
2019-03-07,43.49,110.15
2019-03-08,44.24,110.9
2019-03-11,43.0,110.29
2019-03-12,42.29,107.94
2019-03-13,42.81,108.05
2019-03-14,42.6,107.23
2019-03-15,41.99,105.91
2019-03-18,43.22,108.18
2019-03-19,43.38,109.66
2019-03-20,43.02,108.27
2019-03-21,42.37,107.99
2019-03-22,42.76,108.69
2019-03-25,42.4,107.96
2019-03-26,42.81,111.53
2019-03-27,41.44,109.9
2019-03-28,41.3,110.14
2019-03-29,40.89,109.26
2019-04-01,40.99,109.35
2019-04-02,40.99,109.47
2019-04-03,40.33,107.96
2019-04-04,39.88,108.15
2019-04-05,39.99,110.25
2019-04-08,40.62,111.71
2019-04-09,41.52,117.28
2019-04-10,40.48,115.36
2019-04-11,39.04,111.7
2019-04-12,39.64,113.05
2019-04-15,39.51,113.33
2019-04-16,40.01,113.89
2019-04-17,39.11,112.57
2019-04-18,39.7,114.76
2019-04-19,40.46,118.11
2019-04-22,39.79,117.45
2019-04-23,39.75,115.24
2019-04-24,39.54,112.81
2019-04-25,39.21,113.69
2019-04-26,40.04,114.89
2019-04-29,40.45,116.2
2019-04-30,40.62,114.92
2019-05-01,41.44,114.93
2019-05-02,41.41,116.36
2019-05-03,42.81,120.1
2019-05-06,42.93,119.53
2019-05-07,42.31,117.77
2019-05-08,41.73,116.21
2019-05-09,40.73,114.77
2019-05-10,40.74,115.28
2019-05-13,41.36,116.73
2019-05-14,41.16,115.3
2019-05-15,41.52,115.8
2019-05-16,40.9,113.59
2019-05-17,41.28,113.88
2019-05-20,41.97,114.94
2019-05-21,42.17,114.97
2019-05-22,43.2,118.14
2019-05-23,43.45,118.38
