Date,Open,High,Low,Close,Volume
2018-01-02,167.38,168.84,166.47,168.0,54656458.0
2018-01-03,163.53,165.25,162.54,164.46,53815380.0
2018-01-04,165.92,166.72,164.65,,83550041.0
2018-01-05,167.48,169.28,166.06,,59208673.0
2018-01-08,170.08,170.24,169.45,170.03,140552007.0
2018-01-09,166.74,167.79,166.74,167.0,85170117.0
2018-01-10,170.97,171.16,169.72,170.54,100480911.0
2018-01-11,172.52,173.07,171.88,172.83,76164281.0
2018-01-12,176.15,176.69,174.82,175.09,161904758.0
2018-01-15,177.93,178.19,177.08,177.45,160157675.0
2018-01-16,181.85,,180.92,180.98,38967867.0
2018-01-17,187.68,189.28,185.92,188.49,90187714.0
2018-01-18,186.03,186.96,185.22,185.78,98566716.0
2018-01-19,186.24,186.39,183.65,185.48,140553105.0
2018-01-22,191.71,,190.99,191.25,119423740.0
2018-01-23,184.99,187.27,184.54,185.84,60327719.0
2018-01-24,185.57,187.72,185.01,186.51,
2018-01-25,732.32,738.32,731.4,734.4,
2018-01-26,182.62,183.13,182.15,183.13,76322567.0
2018-01-29,184.88,184.95,183.92,184.38,74705631.0
2018-01-30,177.53,178.68,175.77,,78178009.0
2018-01-31,172.86,174.89,172.24,173.85,103220371.0
2018-02-01,169.37,169.46,168.74,169.19,130389062.0
2018-02-02,168.71,168.82,167.95,168.49,118096174.0
2018-02-05,166.65,166.9,166.25,166.36,75645805.0
2018-02-06,171.06,172.2,169.4,171.31,52890331.0
2018-02-07,168.73,169.63,168.41,169.33,76316343.0
2018-02-08,,176.0,173.75,174.93,46247018.0
2018-02-09,173.58,175.34,173.01,173.45,54315596.0
2018-02-12,173.23,174.46,172.38,174.23,60941714.0
2018-02-13,173.59,174.74,172.74,174.23,44517674.0
2018-02-14,174.71,176.0,173.74,174.14,92055397.0
2018-02-15,170.93,171.2,169.93,170.34,65590930.0
2018-02-16,171.75,171.85,170.72,171.41,65530720.0
2018-02-19,172.23,173.2,171.88,172.61,109349861.0
2018-02-20,174.04,174.36,172.48,173.3,66031762.0
2018-02-21,174.1,175.46,173.2,175.23,80140558.0
2018-02-22,171.66,173.52,170.46,172.37,89409786.0
2018-02-23,171.13,172.15,,171.32,117160905.0
2018-02-26,169.41,170.67,168.59,169.14,76291754.0
2018-02-27,162.94,164.61,162.01,163.79,51847035.0
2018-02-28,165.51,165.92,164.54,165.1,89299257.0
2018-03-01,163.07,164.12,162.25,163.26,96361369.0
2018-03-02,163.04,163.24,161.91,163.2,60485246.0
2018-03-05,170.09,171.3,169.25,170.47,67687551.0
2018-03-06,171.86,172.61,,171.18,120224401.0
2018-03-07,170.94,171.83,,171.47,
2018-03-07,170.94,171.83,,171.47,
2018-03-08,173.93,175.95,173.35,174.91,122353714.0
2018-03-09,179.08,179.87,178.6,178.9,142660958.0
2018-03-12,185.19,187.08,184.6,184.82,86053731.0
2018-03-13,182.62,183.35,181.62,182.52,68286366.0
2018-03-14,,189.36,184.92,188.38,62093870.0
2018-03-15,187.59,187.86,186.27,187.3,89110897.0
2018-03-15,187.59,187.86,186.27,187.3,89110897.0
2018-03-16,182.34,183.27,181.43,182.68,89455416.0
2018-03-19,178.38,180.18,178.03,179.08,92489742.0
2018-03-20,182.92,183.48,180.77,182.54,41553466.0
2018-03-21,185.57,185.71,183.61,184.75,103476929.0
2018-03-22,188.05,189.0,188.02,188.77,58460715.0
2018-03-22,188.05,189.0,188.02,188.77,58460715.0
2018-03-23,184.82,185.51,183.08,184.88,72755651.0
2018-03-26,182.63,184.44,182.5,183.19,108899908.0
2018-03-27,178.68,180.69,178.47,178.64,72469310.0
2018-03-28,171.7,172.62,170.6,,54180921.0
2018-03-28,171.7,172.62,170.6,,54180921.0
2018-03-29,172.01,172.24,170.94,171.64,53220541.0
2018-03-30,176.44,177.03,176.37,176.75,94308038.0
2018-03-30,176.44,177.03,176.37,176.75,94308038.0
2018-04-02,179.3,181.28,179.14,180.24,119213939.0
2018-04-03,177.48,178.22,174.79,177.25,54845677.0
2018-04-04,181.06,182.59,180.64,180.92,117110777.0
2018-04-05,179.3,,178.2,178.57,102604837.0
2018-04-06,,180.77,177.74,179.3,61254370.0
2018-04-09,181.78,182.53,181.62,181.77,68008000.0
2018-04-10,181.0,182.93,179.66,179.95,84183055.0
2018-04-11,176.47,176.9,175.57,176.61,140421463.0
2018-04-12,179.03,179.18,178.2,178.52,120341441.0
2018-04-13,177.82,179.53,177.46,177.6,110512133.0
2018-04-16,175.8,176.66,175.02,175.46,105054120.0
2018-04-17,176.9,,175.99,177.34,52063467.0
2018-04-18,175.64,177.25,175.35,176.33,75066641.0
2018-04-18,175.64,177.25,175.35,176.33,75066641.0
2018-04-19,176.46,177.92,175.16,177.34,73463652.0
2018-04-20,173.34,174.2,172.51,173.84,63770688.0
2018-04-23,176.32,177.52,175.73,176.05,48641297.0
2018-04-24,173.37,174.29,172.13,172.67,107107330.0
2018-04-25,170.89,171.7,170.7,171.26,74997706.0
2018-04-26,165.32,165.68,164.84,165.2,70217768.0
2018-04-27,169.38,169.41,168.67,168.93,80705931.0
2018-04-30,,,168.01,169.18,
2018-05-01,170.44,171.16,170.03,170.61,87394663.0
2018-05-02,663.12,663.76,651.08,660.44,72436068.0
2018-05-03,165.88,166.32,164.67,165.66,
2018-05-04,164.49,164.58,164.45,164.47,62399553.0
2018-05-07,168.46,169.23,167.87,168.32,84919131.0
2018-05-08,163.3,164.28,162.92,163.36,57390331.0
2018-05-08,163.3,164.28,162.92,163.36,57390331.0
