published_at,symbol,sentiment_score,mention_count
2018-01-02 16:33:00,AAPL,-1.213,12
2018-01-05 19:09:00,AAPL,0.0025,12
2018-01-08 14:53:00,AAPL,-0.1894,10
2018-01-09 11:27:00,AAPL,0.8057,9
2018-01-10 08:29:00,AAPL,0.5249,7
2018-01-11 10:47:00,AAPL,-0.8671,11
2018-01-12 17:13:00,AAPL,-0.7143,18
2018-01-15 10:03:00,AAPL,-0.2806,12
2018-01-16 12:14:00,AAPL,-0.0757,10
2018-01-17 13:49:00,AAPL,-0.2305,15
2018-01-18 15:27:00,AAPL,0.4658,8
2018-01-19 11:16:00,AAPL,-0.5403,14
2018-01-22 19:47:00,AAPL,-0.3656,9
2018-01-23 17:57:00,AAPL,0.0591,4
2018-01-25 19:55:00,AAPL,0.7799,10
2018-01-26 12:23:00,AAPL,-0.0015,12
2018-01-29 12:00:00,AAPL,-0.419,18
2018-01-30 17:25:00,AAPL,-0.0406,80
2018-01-31 16:11:00,AAPL,-0.8081,11
2018-02-01 15:28:00,AAPL,-0.6693,10
2018-02-02 16:51:00,AAPL,-0.4065,17
2018-02-05 16:11:00,AAPL,-0.7051,11
2018-02-06 17:34:00,AAPL,-0.0747,16
2018-02-07 16:55:00,AAPL,0.1396,4
2018-02-08 18:01:00,AAPL,-0.3412,16
2018-02-09 09:00:00,AAPL,0.0932,8
2018-02-12 14:07:00,AAPL,-0.0257,9
2018-02-14 18:10:00,AAPL,-0.3195,9
2018-02-16 10:25:00,AAPL,0.6676,12
2018-02-19 13:34:00,AAPL,0.0053,10
2018-02-21 13:58:00,AAPL,0.4395,8
2018-02-22 10:42:00,AAPL,-0.0618,17
2018-02-23 14:32:00,AAPL,0.2397,9
2018-02-26 13:32:00,AAPL,-0.008,9
2018-02-27 14:00:00,AAPL,-0.4497,21
2018-02-28 09:10:00,AAPL,-0.1634,11
2018-03-01 16:45:00,AAPL,0.0735,8
2018-03-02 17:51:00,AAPL,0.4219,14
2018-03-05 17:38:00,AAPL,-0.6981,10
2018-03-06 14:23:00,AAPL,0.0031,10
2018-03-07 17:50:00,AAPL,0.419,9
2018-03-08 09:26:00,AAPL,0.2648,13
2018-03-12 10:59:00,AAPL,-0.9649,8
2018-03-13 09:19:00,AAPL,0.2555,13
2018-03-14 17:25:00,AAPL,-0.0822,8
2018-03-15 09:54:00,AAPL,-0.6148,11
2018-03-16 14:48:00,AAPL,-1.3765,10
2018-03-19 15:25:00,AAPL,0.3478,16
2018-03-20 13:38:00,AAPL,-0.1306,4
2018-03-21 14:57:00,AAPL,-0.5169,9
2018-03-22 12:19:00,AAPL,0.6169,13
2018-03-23 12:40:00,AAPL,-0.0354,14
2018-03-26 17:49:00,AAPL,0.051,11
2018-03-28 11:28:00,AAPL,1.1111,16
2018-03-29 08:47:00,AAPL,0.6517,17
2018-03-30 09:57:00,AAPL,-0.7222,15
2018-04-03 13:26:00,AAPL,0.6033,11
2018-04-04 11:01:00,AAPL,0.1726,90
2018-04-05 08:22:00,AAPL,-0.0097,9
2018-04-06 17:16:00,AAPL,0.0433,15
2018-04-11 19:25:00,AAPL,-0.9156,8
2018-04-12 14:28:00,AAPL,0.0745,11
2018-04-13 14:02:00,AAPL,-0.0544,13
2018-04-18 08:26:00,AAPL,-0.4804,15
2018-04-19 08:49:00,AAPL,0.4773,7
2018-04-20 18:09:00,AAPL,0.4487,10
2018-04-23 18:55:00,AAPL,0.7969,5
2018-04-25 16:18:00,AAPL,-1.1867,10
2018-04-26 15:57:00,AAPL,-0.3538,14
2018-04-30 17:05:00,AAPL,-0.8349,16
2018-05-01 11:32:00,AAPL,-0.1745,14
2018-05-02 15:47:00,AAPL,-0.2031,16
2018-05-07 12:30:00,AAPL,-0.0939,4
2018-05-09 14:30:00,AAPL,-0.252,9
2018-05-10 17:55:00,AAPL,0.1164,7
2018-05-11 19:29:00,AAPL,-0.5518,12
2018-05-14 16:48:00,AAPL,-0.3131,12
2018-05-15 18:56:00,AAPL,-0.222,13
2018-05-17 09:20:00,AAPL,,10
2018-05-18 16:59:00,AAPL,0.9592,55
2018-05-21 16:14:00,AAPL,0.4968,11
2018-05-22 16:20:00,AAPL,0.6928,11
2018-05-23 10:03:00,AAPL,0.7646,14
2018-05-24 09:33:00,AAPL,0.1024,8
2018-05-25 15:29:00,AAPL,-0.2851,14
2018-05-28 17:04:00,AAPL,-0.4135,16
2018-05-29 11:51:00,AAPL,0.3588,7
2018-05-31 10:37:00,AAPL,0.0442,17
2018-06-01 08:00:00,AAPL,0.3578,15
2018-06-04 15:26:00,AAPL,0.2149,13
2018-06-05 17:51:00,AAPL,0.0576,8
2018-06-06 12:32:00,AAPL,0.4349,9
2018-06-07 08:26:00,AAPL,0.6441,18
2018-06-08 18:31:00,AAPL,,8
2018-06-11 12:01:00,AAPL,-0.64,13
2018-06-12 13:38:00,AAPL,0.6031,8
2018-06-13 08:18:00,AAPL,0.2112,8
2018-06-14 13:19:00,AAPL,-0.0151,18
2018-06-18 09:45:00,AAPL,0.1879,7
2018-06-19 10:34:00,AAPL,0.164,7
2018-06-20 13:18:00,AAPL,-0.121,8
2018-06-21 16:13:00,AAPL,0.0588,13
