Date,Open,High,Low,Close,Volume
2018-01-02,268.56,271.09,268.4,270.0,49354040
2018-01-03,269.24,270.54,268.01,269.24,63308051
2018-01-04,266.38,267.2,265.01,266.5,36192322
2018-01-05,267.29,267.48,266.29,266.55,71038348
2018-01-08,266.39,266.68,266.03,266.67,54344851
2018-01-09,267.42,268.85,266.45,266.63,89128241
2018-01-10,264.31,266.27,264.3,264.67,37796503
2018-01-11,262.85,264.32,261.33,261.97,69557210
2018-01-12,259.95,261.52,259.24,259.98,90571724
2018-01-15,260.98,261.88,260.69,261.05,81244535
2018-01-16,260.46,261.9,259.45,260.52,93031766
2018-01-17,259.1,260.12,255.93,258.79,60718018
2018-01-18,256.08,257.24,255.31,256.71,73059776
2018-01-19,259.75,260.28,259.1,259.28,51981710
2018-01-22,260.08,260.18,259.23,259.91,104301498
2018-01-23,262.54,263.29,261.76,262.28,94962208
2018-01-24,262.82,264.28,261.91,263.35,86033709
2018-01-25,257.9,259.44,257.61,258.43,38194836
2018-01-26,259.41,259.5,257.58,259.06,87756194
2018-01-29,261.31,261.58,260.43,260.69,40219006
2018-01-30,262.06,262.71,261.26,261.93,63237246
2018-01-31,263.46,263.73,263.17,263.38,32505066
2018-02-01,262.95,263.74,262.55,263.47,51758354
2018-02-02,260.61,261.62,259.14,260.77,88927970
2018-02-05,255.17,255.9,254.8,255.41,88956377
2018-02-06,258.19,259.91,258.04,258.19,113096182
2018-02-07,261.84,263.26,260.45,261.54,65672543
2018-02-08,263.6,264.64,262.41,262.94,103606069
2018-02-09,264.25,265.73,263.36,263.97,78367960
2018-02-12,264.55,265.58,263.52,265.14,49862855
2018-02-13,267.87,268.44,267.19,267.42,79054915
2018-02-14,273.61,273.87,272.51,272.8,104919907
2018-02-15,270.01,270.42,269.37,270.31,195220434
2018-02-16,270.48,272.74,269.54,271.1,101526475
2018-02-19,268.34,268.41,267.35,268.37,68177247
2018-02-20,269.18,270.1,269.03,269.16,92112848
2018-02-21,269.45,269.84,268.73,269.04,79631729
2018-02-22,273.7,275.16,271.52,274.48,46777658
2018-02-23,274.7,275.6,274.26,274.92,125660342
2018-02-26,270.46,270.67,269.16,270.0,93405429
2018-02-27,269.74,270.06,268.71,269.56,106760475
2018-02-28,271.17,271.67,270.56,270.73,92365618
2018-03-01,271.32,271.8,269.0,271.03,84508921
2018-03-02,273.56,274.49,273.14,273.88,111313847
2018-03-05,268.28,269.76,266.63,268.96,47644280
2018-03-06,270.48,271.39,269.1,270.12,58108339
2018-03-07,270.18,271.49,269.71,270.54,56959262
2018-03-08,268.54,269.03,266.4,267.74,68285055
2018-03-09,266.75,269.01,265.53,266.04,134436209
2018-03-12,264.2,265.72,263.46,264.75,81237407
2018-03-13,265.29,266.34,264.22,265.0,64103602
2018-03-14,259.55,260.01,258.64,259.04,42228497
2018-03-15,259.47,260.92,259.05,259.58,56245447
2018-03-16,255.55,256.31,254.76,255.01,47361634
2018-03-19,254.03,255.74,253.51,255.09,60024554
2018-03-20,249.61,251.3,248.71,250.05,46757707
2018-03-21,252.75,254.18,252.62,253.39,60941448
2018-03-22,255.25,255.55,254.34,254.97,51606590
2018-03-23,256.44,257.82,255.2,256.12,93111288
2018-03-26,260.04,260.37,258.23,259.24,50574084
2018-03-27,260.85,262.23,260.62,261.03,43919161
2018-03-28,263.57,265.51,262.32,264.55,90526482
2018-03-29,266.3,266.88,265.02,266.45,124387462
2018-03-30,265.64,266.15,265.59,265.69,82103554
2018-04-02,263.33,263.74,262.24,263.54,87092134
2018-04-03,269.49,270.48,268.17,268.5,95569516
2018-04-04,267.26,267.3,267.03,267.07,92890217
2018-04-05,270.38,270.87,269.82,270.05,68017552
2018-04-06,274.79,275.56,273.51,274.41,46074818
2018-04-09,272.96,274.46,272.37,274.09,47602014
2018-04-10,273.52,274.56,272.61,273.45,49454943
2018-04-11,269.17,271.59,269.04,269.45,94033445
2018-04-12,264.66,265.15,262.55,264.69,95852232
2018-04-13,268.04,268.61,267.43,268.32,143292587
2018-04-16,265.48,265.6,265.13,265.39,90644712
2018-04-17,265.02,266.26,263.23,265.02,95202139
2018-04-18,262.84,264.08,261.31,262.93,84261233
2018-04-19,264.09,264.82,261.45,262.71,73731405
