Date,Open,High,Low,Close,Volume
2020-01-02,90.8,91.79,89.99,90.0,124064708
2020-01-03,91.24,94.44,89.09,91.05,149753648
2020-01-06,89.01,90.44,88.57,89.72,187720344
2020-01-07,88.63,88.67,87.74,88.21,136529633
2020-01-08,89.78,91.14,87.47,89.15,178748600
2020-01-09,92.29,93.85,92.17,92.38,184653478
2020-01-10,93.35,95.48,92.6,93.55,127839266
2020-01-13,93.62,94.53,91.79,92.5,149603927
2020-01-14,88.04,89.62,86.74,87.77,65717144
2020-01-15,85.87,87.28,85.26,85.48,222224841
2020-01-16,83.08,84.52,82.36,83.69,83799778
2020-01-17,86.88,87.78,86.58,87.26,95185003
2020-01-20,81.07,82.13,78.89,81.07,71812481
2020-01-21,82.82,83.32,81.16,82.81,124026545
2020-01-22,81.52,81.57,81.19,81.55,139658170
2020-01-23,83.28,84.68,82.18,83.13,107764106
2020-01-24,77.02,78.29,75.85,77.88,172413520
2020-01-27,77.11,78.24,76.08,77.59,275954413
2020-01-28,78.41,80.49,78.0,79.38,106358846
2020-01-29,80.82,80.97,79.27,79.65,117850213
2020-01-30,82.54,83.69,81.65,82.46,165456017
2020-01-31,83.8,83.97,83.56,83.76,97730059
2020-02-03,84.73,84.91,84.35,84.54,91346037
2020-02-04,80.82,82.82,79.9,80.84,119466511
2020-02-05,79.96,81.15,77.46,79.72,142743238
2020-02-06,77.91,78.53,76.49,77.96,145815758
2020-02-07,78.13,78.21,77.32,77.66,175979955
2020-02-10,86.62,87.01,85.65,86.54,106554073
2020-02-11,85.47,85.84,84.69,85.5,92237168
2020-02-12,88.2,89.05,87.46,87.62,106130189
2020-02-13,89.88,90.77,89.15,89.22,72824817
2020-02-14,92.05,94.16,90.8,91.62,126502319
2020-02-17,93.99,94.42,93.07,93.65,143969336
2020-02-18,86.46,87.45,86.25,86.64,104791249
2020-02-19,86.82,88.3,85.83,86.58,97165165
2020-02-20,81.4,82.54,80.5,81.6,59472732
2020-02-21,77.88,78.05,76.55,77.24,51122581
2020-02-24,80.49,81.42,80.02,80.35,158657613
2020-02-25,80.05,80.15,79.23,80.06,205881789
2020-02-26,77.3,77.43,76.0,76.74,46487128
