Stock,Date,Close,PE_Ratio,Monthly_Return,ROE
STOCK_01,2024-01-31,415.55,19.89,0.0614,0.2915
STOCK_01,2024-02-29,420.82,21.7,0.0127,0.3032
STOCK_01,2024-03-31,401.38,23.01,-0.0462,0.3104
STOCK_01,2024-04-30,404.98,23.29,0.009,0.3076
STOCK_01,2024-05-31,386.12,22.45,-0.0466,0.2946
STOCK_01,2024-06-30,408.41,21.99,0.0577,0.3017
STOCK_01,2024-07-31,393.76,23.39,-0.0359,0.3019
STOCK_01,2024-08-31,385.61,21.66,-0.0207,0.3082
STOCK_01,2024-09-30,395.99,22.5,0.0269,0.3073
STOCK_01,2024-10-31,448.86,21.6,0.1335,0.2987
STOCK_01,2024-11-30,429.19,22.72,-0.0438,0.3136
STOCK_01,2024-12-31,428.4,21.12,-0.0018,0.2958
STOCK_02,2024-01-31,319.22,22.59,-0.0653,0.2889
STOCK_02,2024-02-29,325.26,22.12,0.0189,0.2967
STOCK_02,2024-03-31,343.9,22.23,0.0573,0.3008
STOCK_02,2024-04-30,347.01,22.31,0.0091,0.3004
STOCK_02,2024-05-31,318.41,21.64,-0.0824,0.2906
STOCK_02,2024-06-30,307.79,21.69,-0.0333,0.308
STOCK_02,2024-07-31,293.34,23.05,-0.0469,0.2799
STOCK_02,2024-08-31,288.91,22.17,-0.0151,0.3
STOCK_02,2024-09-30,302.69,22.86,0.0477,0.2917
STOCK_02,2024-10-31,295.8,22.93,-0.0227,0.2931
STOCK_02,2024-11-30,274.64,20.74,-0.0715,0.2867
STOCK_02,2024-12-31,284.21,22.15,0.0348,0.3009
STOCK_03,2024-01-31,283.48,33.84,-0.0136,0.2345
STOCK_03,2024-02-29,278.72,32.45,-0.0168,0.2306
STOCK_03,2024-03-31,288.26,32.31,0.0342,0.2393
STOCK_03,2024-04-30,298.01,33.82,0.0338,0.244
STOCK_03,2024-05-31,297.74,32.38,-0.0009,0.2387
STOCK_03,2024-06-30,269.09,30.69,-0.0962,0.2297
STOCK_03,2024-07-31,254.33,33.75,-0.0548,0.2327
STOCK_03,2024-08-31,249.83,35.23,-0.0177,0.2367
STOCK_03,2024-09-30,262.14,31.54,0.0493,0.2377
STOCK_03,2024-10-31,248.51,32.52,-0.052,0.2453
STOCK_03,2024-11-30,223.99,33.8,-0.0986,0.2409
STOCK_03,2024-12-31,217.13,30.69,-0.0306,0.2397
STOCK_04,2024-01-31,402.28,21.57,0.1011,0.22
STOCK_04,2024-02-29,408.62,22.07,0.0158,0.2363
STOCK_04,2024-03-31,431.14,22.22,0.0551,0.237
STOCK_04,2024-04-30,402.54,21.13,-0.0663,0.2207
STOCK_04,2024-05-31,395.14,20.32,-0.0184,0.2313
STOCK_04,2024-06-30,391.85,20.22,-0.0083,0.2201
STOCK_04,2024-07-31,401.18,22.74,0.0238,0.2406
STOCK_04,2024-08-31,473.32,22.28,0.1798,0.2203
STOCK_04,2024-09-30,415.14,22.12,-0.1229,0.2215
STOCK_04,2024-10-31,406.87,21.16,-0.0199,0.2261
STOCK_04,2024-11-30,434.93,22.0,0.069,0.2259
STOCK_04,2024-12-31,410.07,20.0,-0.0571,0.2237
STOCK_05,2024-01-31,156.98,30.53,0.0128,0.256
STOCK_05,2024-02-29,146.6,27.7,-0.0661,0.2543
STOCK_05,2024-03-31,166.06,27.91,0.1327,0.2664
STOCK_05,2024-04-30,157.89,30.46,-0.0492,0.2629
STOCK_05,2024-05-31,157.2,29.04,-0.0044,0.2548
STOCK_05,2024-06-30,162.19,28.44,0.0318,0.2504
STOCK_05,2024-07-31,150.57,29.35,-0.0717,0.2722
STOCK_05,2024-08-31,152.76,28.93,0.0146,0.2621
STOCK_05,2024-09-30,165.5,29.42,0.0834,0.2567
STOCK_05,2024-10-31,177.31,29.73,0.0714,0.2719
STOCK_05,2024-11-30,180.15,27.32,0.016,0.2492
STOCK_05,2024-12-31,198.89,31.61,0.1041,0.2585
STOCK_06,2024-01-31,115.52,25.96,0.0893,0.3146
STOCK_06,2024-02-29,113.36,27.17,-0.0187,0.3071
STOCK_06,2024-03-31,116.23,29.09,0.0253,0.3094
STOCK_06,2024-04-30,121.3,24.39,0.0436,0.3082
STOCK_06,2024-05-31,115.77,25.52,-0.0456,0.3005
STOCK_06,2024-06-30,114.03,28.42,-0.015,0.2963
STOCK_06,2024-07-31,114.81,26.52,0.0068,0.3056
STOCK_06,2024-08-31,122.29,27.91,0.0652,0.321
STOCK_06,2024-09-30,121.76,26.23,-0.0043,0.3065
STOCK_06,2024-10-31,124.15,27.42,0.0195,0.2986
STOCK_06,2024-11-30,125.44,27.49,0.0104,0.3319
STOCK_06,2024-12-31,140.19,26.02,0.1176,0.3059
STOCK_07,2024-01-31,263.24,31.91,0.0774,0.0254
STOCK_07,2024-02-29,230.64,32.84,-0.1238,0.0251
STOCK_07,2024-03-31,224.47,31.66,-0.0268,0.0258
STOCK_07,2024-04-30,201.92,30.68,-0.1005,0.0275
STOCK_07,2024-05-31,187.33,31.3,-0.0722,0.0273
STOCK_07,2024-06-30,220.92,31.17,0.1793,0.0256
STOCK_07,2024-07-31,226.55,35.97,0.0255,0.0251
STOCK_07,2024-08-31,224.35,34.4,-0.0097,0.0262
STOCK_07,2024-09-30,220.41,32.89,-0.0176,0.0248
STOCK_07,2024-10-31,218.36,32.67,-0.0093,0.0261
STOCK_07,2024-11-30,212.18,33.89,-0.0283,0.0267
STOCK_07,2024-12-31,215.22,33.69,0.0143,0.0259
STOCK_08,2024-01-31,439.63,38.92,-0.0008,0.036
STOCK_08,2024-02-29,452.01,33.89,0.0282,0.0332
STOCK_08,2024-03-31,486.57,35.7,0.0765,0.0348
STOCK_08,2024-04-30,438.08,36.87,-0.0997,0.0348
STOCK_08,2024-05-31,411.08,34.41,-0.0616,0.0346
STOCK_08,2024-06-30,414.43,34.72,0.0081,0.0342
STOCK_08,2024-07-31,410.23,35.5,-0.0101,0.0359
STOCK_08,2024-08-31,349.11,34.82,-0.149,0.0345
STOCK_08,2024-09-30,357.06,34.58,0.0228,0.0325
STOCK_08,2024-10-31,365.87,38.28,0.0247,0.0328
STOCK_08,2024-11-30,386.66,34.66,0.0568,0.0343
STOCK_08,2024-12-31,364.17,34.65,-0.0582,0.0357
STOCK_09,2024-01-31,474.26,25.43,0.0313,0.13
STOCK_09,2024-02-29,500.19,23.04,0.0547,0.1286
STOCK_09,2024-03-31,481.76,24.55,-0.0368,0.1238
STOCK_09,2024-04-30,506.79,23.17,0.0519,0.1329
STOCK_09,2024-05-31,532.15,25.52,0.0501,0.1312
STOCK_09,2024-06-30,484.62,23.31,-0.0893,0.1238
STOCK_09,2024-07-31,471.97,25.16,-0.0261,0.1308
STOCK_09,2024-08-31,454.54,22.2,-0.0369,0.1285
STOCK_09,2024-09-30,423.63,22.6,-0.068,0.1296
STOCK_09,2024-10-31,455.12,24.1,0.0743,0.1195
STOCK_09,2024-11-30,465.7,23.47,0.0233,0.13
STOCK_09,2024-12-31,513.19,20.98,0.102,0.1261
STOCK_10,2024-01-31,79.57,12.24,0.0271,0.0481
STOCK_10,2024-02-29,83.85,12.37,0.0538,0.0493
STOCK_10,2024-03-31,85.45,11.91,0.0191,0.0477
STOCK_10,2024-04-30,85.12,11.66,-0.0039,0.0495
STOCK_10,2024-05-31,90.66,11.13,0.065,0.0488
STOCK_10,2024-06-30,99.17,11.31,0.0939,0.0477
STOCK_10,2024-07-31,100.87,12.24,0.0171,0.049
STOCK_10,2024-08-31,109.41,12.25,0.0847,0.0502
STOCK_10,2024-09-30,113.6,13.11,0.0382,0.0486
STOCK_10,2024-10-31,100.51,12.69,-0.1152,0.0483
STOCK_10,2024-11-30,101.66,12.52,0.0115,0.0466
STOCK_10,2024-12-31,94.54,10.81,-0.0701,0.0478
STOCK_11,2024-01-31,151.77,33.07,-0.0798,0.2783
STOCK_11,2024-02-29,148.23,38.25,-0.0233,0.2837
STOCK_11,2024-03-31,150.2,38.81,0.0133,0.2797
STOCK_11,2024-04-30,155.73,36.07,0.0368,0.2763
STOCK_11,2024-05-31,158.35,38.92,0.0168,0.2745
STOCK_11,2024-06-30,164.09,36.89,0.0363,0.2768
STOCK_11,2024-07-31,173.08,33.66,0.0548,0.267
STOCK_11,2024-08-31,158.55,33.03,-0.0839,0.2722
STOCK_11,2024-09-30,166.47,36.86,0.05,0.2795
STOCK_11,2024-10-31,178.19,39.87,0.0704,0.2773
STOCK_11,2024-11-30,193.55,37.56,0.0862,0.2708
STOCK_11,2024-12-31,187.61,34.62,-0.0307,0.2704
STOCK_12,2024-01-31,138.28,31.32,-0.0779,0.3327
STOCK_12,2024-02-29,142.91,30.52,0.0335,0.3246
STOCK_12,2024-03-31,151.58,29.79,0.0607,0.338
STOCK_12,2024-04-30,142.61,29.71,-0.0592,0.3479
STOCK_12,2024-05-31,141.7,31.22,-0.0064,0.3472
STOCK_12,2024-06-30,153.64,30.19,0.0842,0.3282
STOCK_12,2024-07-31,164.25,30.21,0.069,0.355
STOCK_12,2024-08-31,168.85,30.52,0.028,0.3471
STOCK_12,2024-09-30,189.46,33.91,0.1221,0.3442
STOCK_12,2024-10-31,192.22,32.37,0.0146,0.3348
STOCK_12,2024-11-30,197.03,30.68,0.025,0.3467
STOCK_12,2024-12-31,188.16,28.28,-0.045,0.3221
STOCK_13,2024-01-31,193.05,9.66,0.1212,0.1535
STOCK_13,2024-02-29,198.05,8.97,0.0259,0.1567
STOCK_13,2024-03-31,201.24,9.44,0.0161,0.1565
STOCK_13,2024-04-30,215.09,8.63,0.0688,0.1581
STOCK_13,2024-05-31,249.69,9.26,0.1609,0.1649
STOCK_13,2024-06-30,252.31,9.42,0.0105,0.1578
STOCK_13,2024-07-31,250.99,8.8,-0.0052,0.1601
STOCK_13,2024-08-31,239.42,9.46,-0.0461,0.1632
STOCK_13,2024-09-30,245.89,9.02,0.027,0.1602
STOCK_13,2024-10-31,242.56,9.58,-0.0135,0.1494
STOCK_13,2024-11-30,238.89,8.24,-0.0151,0.151
STOCK_13,2024-12-31,259.63,9.56,0.0868,0.1547
STOCK_14,2024-01-31,89.08,20.11,0.1502,0.3306
STOCK_14,2024-02-29,92.01,18.14,0.0329,0.3333
STOCK_14,2024-03-31,93.02,19.59,0.011,0.3443
STOCK_14,2024-04-30,95.41,20.33,0.0257,0.3293
STOCK_14,2024-05-31,101.02,21.28,0.0589,0.3265
STOCK_14,2024-06-30,96.15,20.99,-0.0483,0.3344
STOCK_14,2024-07-31,104.73,19.24,0.0892,0.351
STOCK_14,2024-08-31,106.08,19.93,0.0129,0.3521
STOCK_14,2024-09-30,104.3,18.75,-0.0167,0.3318
STOCK_14,2024-10-31,107.66,18.14,0.0321,0.3427
STOCK_14,2024-11-30,104.71,20.81,-0.0273,0.3121
STOCK_14,2024-12-31,100.3,18.02,-0.0422,0.3279
STOCK_15,2024-01-31,324.56,29.07,-0.0046,0.2339
STOCK_15,2024-02-29,339.95,29.73,0.0474,0.244
STOCK_15,2024-03-31,353.0,29.2,0.0384,0.2559
STOCK_15,2024-04-30,352.92,28.33,-0.0002,0.2357
STOCK_15,2024-05-31,332.82,26.98,-0.0569,0.2347
STOCK_15,2024-06-30,333.08,29.25,0.0008,0.2415
STOCK_15,2024-07-31,319.44,30.07,-0.0409,0.2465
STOCK_15,2024-08-31,317.98,27.83,-0.0046,0.2451
STOCK_15,2024-09-30,323.16,26.69,0.0163,0.2407
STOCK_15,2024-10-31,329.85,27.48,0.0207,0.2425
STOCK_15,2024-11-30,302.71,30.7,-0.0823,0.2502
STOCK_15,2024-12-31,299.64,29.3,-0.0102,0.2237
STOCK_16,2024-01-31,505.43,36.32,0.0479,0.2952
STOCK_16,2024-02-29,482.56,33.41,-0.0452,0.3208
STOCK_16,2024-03-31,449.58,33.44,-0.0683,0.3228
STOCK_16,2024-04-30,407.27,30.91,-0.0941,0.3022
STOCK_16,2024-05-31,396.59,34.37,-0.0262,0.3083
STOCK_16,2024-06-30,356.33,33.88,-0.1015,0.3007
STOCK_16,2024-07-31,385.36,31.99,0.0815,0.3002
STOCK_16,2024-08-31,399.8,34.28,0.0375,0.3102
STOCK_16,2024-09-30,361.37,33.91,-0.0961,0.2965
STOCK_16,2024-10-31,368.27,30.67,0.0191,0.3101
STOCK_16,2024-11-30,352.29,30.91,-0.0434,0.3126
STOCK_16,2024-12-31,359.16,32.01,0.0195,0.3194
STOCK_17,2024-01-31,418.0,8.34,-0.0322,0.1868
STOCK_17,2024-02-29,409.77,8.7,-0.0197,0.1839
STOCK_17,2024-03-31,352.5,8.8,-0.1398,0.2043
STOCK_17,2024-04-30,345.69,7.36,-0.0193,0.1881
STOCK_17,2024-05-31,341.48,8.07,-0.0122,0.1835
STOCK_17,2024-06-30,355.06,8.36,0.0398,0.1813
STOCK_17,2024-07-31,371.73,8.98,0.047,0.1908
STOCK_17,2024-08-31,366.07,8.09,-0.0152,0.1933
STOCK_17,2024-09-30,329.88,8.21,-0.0988,0.1876
STOCK_17,2024-10-31,368.11,8.07,0.1159,0.1993
STOCK_17,2024-11-30,345.57,8.38,-0.0612,0.1916
STOCK_17,2024-12-31,329.28,8.22,-0.0471,0.1967
STOCK_18,2024-01-31,210.88,38.03,-0.0491,0.2675
STOCK_18,2024-02-29,190.36,35.57,-0.0973,0.272
STOCK_18,2024-03-31,185.34,33.73,-0.0264,0.2745
STOCK_18,2024-04-30,189.29,37.31,0.0213,0.2576
STOCK_18,2024-05-31,199.73,39.37,0.0551,0.2873
STOCK_18,2024-06-30,205.77,39.44,0.0302,0.2668
STOCK_18,2024-07-31,216.88,39.9,0.054,0.2782
STOCK_18,2024-08-31,211.18,37.85,-0.0263,0.2643
STOCK_18,2024-09-30,222.26,41.59,0.0524,0.2645
STOCK_18,2024-10-31,217.7,39.3,-0.0205,0.2662
STOCK_18,2024-11-30,231.23,34.34,0.0621,0.2615
STOCK_18,2024-12-31,221.53,34.21,-0.0419,0.2604
STOCK_19,2024-01-31,236.14,23.25,-0.0097,0.1229
STOCK_19,2024-02-29,252.19,23.32,0.068,0.1198
STOCK_19,2024-03-31,261.9,24.24,0.0385,0.1255
STOCK_19,2024-04-30,263.0,25.37,0.0042,0.1193
STOCK_19,2024-05-31,264.12,24.26,0.0043,0.1187
STOCK_19,2024-06-30,240.66,25.36,-0.0888,0.1219
STOCK_19,2024-07-31,227.11,24.4,-0.0563,0.1273
STOCK_19,2024-08-31,197.16,22.68,-0.1318,0.1197
STOCK_19,2024-09-30,215.43,24.86,0.0927,0.126
