Date,Open,High,Low,Close,Volume
2018-01-02,167.38,168.84,166.47,168.0,54656458
2018-01-03,163.53,165.25,162.54,164.46,53815380
2018-01-04,165.92,166.72,164.65,165.57,83550041
2018-01-05,167.48,169.28,166.06,168.2,59208673
2018-01-08,170.08,170.24,169.45,170.03,140552007
2018-01-09,166.74,167.79,166.74,167.0,85170117
2018-01-10,170.97,171.16,169.72,170.54,100480911
2018-01-11,172.52,173.07,171.88,172.83,76164281
2018-01-12,176.15,176.69,174.82,175.09,161904758
2018-01-15,177.93,178.19,177.08,177.45,160157675
2018-01-16,181.85,183.67,180.92,180.98,38967867
2018-01-17,187.68,189.28,185.92,188.49,90187714
2018-01-18,186.03,186.96,185.22,185.78,98566716
2018-01-19,186.24,186.39,183.65,185.48,140553105
2018-01-22,191.71,192.51,190.99,191.25,119423740
2018-01-23,184.99,187.27,184.54,185.84,60327719
2018-01-24,185.57,187.72,185.01,186.51,81065422
2018-01-25,183.08,184.58,182.85,183.6,68828905
2018-01-26,182.62,183.13,182.15,183.13,76322567
2018-01-29,184.88,184.95,183.92,184.38,74705631
2018-01-30,177.53,178.68,175.77,177.35,78178009
2018-01-31,172.86,174.89,172.24,173.85,103220371
2018-02-01,169.37,169.46,168.74,169.19,130389062
2018-02-02,168.71,168.82,167.95,168.49,118096174
