date,open,high,low,close,volume
2020-01-02,299.028,300.291,298.099,300.272,64109741
2020-01-03,296.836,299.123,296.777,297.994,84157524
2020-01-06,296.203,299.211,296.09,299.123,60331695
2020-01-07,298.56,299.028,297.84,298.29,46366805
2020-01-08,298.482,301.105,298.234,299.871,74042398
2020-01-09,301.468,301.967,300.865,301.899,52549927
2020-01-10,302.502,302.655,300.578,301.039,57405493
2020-01-13,301.661,303.123,301.238,303.113,51135177
2020-01-14,302.665,303.727,302.081,302.645,68202278
2020-01-15,302.559,304.092,302.473,303.344,77961705
2020-01-16,304.734,305.852,304.492,305.852,58479805
2020-01-17,306.59,307.01,305.784,306.8,103700691
2020-01-21,305.833,307.01,305.755,306.207,84113483
2020-01-22,307.067,307.737,306.082,306.243,52923524
2020-01-23,305.593,307.0,304.452,306.609,56221411
2020-01-24,307.258,307.346,302.569,303.851,94755580
2020-01-27,298.57,300.502,298.225,298.988,90951463
2020-01-28,300.444,303.031,299.096,302.119,69065207
2020-01-29,303.517,303.737,301.671,301.87,58469593
2020-01-30,299.783,303.085,299.028,302.865,81678472
2020-01-31,302.225,302.388,296.435,297.351,123175332
2020-02-03,298.855,301.468,298.75,299.553,74916767
2020-02-04,303.23,305.021,302.904,304.128,67701123
2020-02-05,307.096,307.852,305.631,307.653,71355907
2020-02-06,308.618,308.877,307.604,308.685,54486714
2020-02-07,307.623,308.704,306.493,307.03,69395734
2020-02-10,306.139,309.412,306.101,309.347,45517685
2020-02-11,310.683,311.498,309.347,309.863,59360735
2020-02-12,311.326,312.093,310.943,311.872,47597902
2020-02-13,310.406,312.505,310.131,311.537,58968407
2020-02-14,311.957,312.159,310.722,312.045,69874786
2020-02-18,311.02,312.102,309.813,311.231,62041801
2020-02-19,312.217,313.393,311.93,312.697,52815104
2020-02-20,312.168,312.974,308.408,311.432,80241122
2020-02-21,310.053,310.361,307.394,308.206,123113261
2020-02-24,298.673,308.295,296.914,298.003,174289760
2020-02-25,299.393,300.022,288.078,288.969,236853317
2020-02-26,290.385,294.013,287.17,287.906,210735723
2020-02-27,282.327,287.973,274.985,274.985,307656504
2020-02-28,266.832,275.319,263.912,273.828,417377757
2020-03-02,275.616,285.752,272.145,285.687,258265619
2020-03-03,286.059,290.078,275.014,277.494,324735843
2020-03-04,282.94,289.379,280.346,289.159,191087093
2020-03-05,281.877,285.104,277.283,279.56,201639752
2020-03-06,270.947,276.145,268.246,274.939,247406666
2020-03-09,254.454,262.658,252.754,253.442,334774403
2020-03-10,263.086,266.658,252.802,266.562,299098920
2020-03-11,259.431,260.6,250.359,253.565,277430152
2020-03-12,236.614,246.471,228.919,229.321,424363472
2020-03-13,243.17,250.896,229.685,248.923,356574364
2020-03-16,222.93,237.459,219.389,221.675,321599137
2020-03-17,226.469,236.769,219.11,233.657,283547404
2020-03-18,218.344,229.562,210.747,221.817,354444037
2020-03-19,221.12,228.64,214.641,222.297,313032262
2020-03-20,225.494,227.284,212.43,212.706,373406775
2020-03-23,212.151,213.531,202.925,207.27,350675278
2020-03-24,217.931,226.929,217.377,226.049,253299741
2020-03-25,227.657,238.318,222.91,229.446,322069575
2020-03-26,231.973,244.33,231.551,242.837,277111917
2020-03-27,235.457,242.462,233.399,235.601,241303207
2020-03-30,237.727,244.002,235.697,243.268,183887949
2020-03-31,242.232,244.8,238.206,239.64,209615626
2020-04-01,230.547,239.554,226.739,228.856,203886467
2020-04-02,227.963,234.931,227.398,234.128,191092978
2020-04-03,233.122,235.504,227.992,230.748,145810680
2020-04-06,239.715,248.235,230.73,246.252,202280171
2020-04-07,254.943,255.69,246.281,246.491,216656693
2020-04-08,249.125,256.59,246.618,254.781,165401066
2020-04-09,258.075,261.424,256.112,258.638,204669598
2020-04-13,257.662,258.006,252.339,256.283,123521804
2020-04-14,261.232,264.878,256.15,263.836,144285660
2020-04-15,258.065,263.968,256.102,258.244,130982169
2020-04-16,259.528,260.352,256.371,259.48,141763331
2020-04-17,265.328,267.11,262.552,266.478,157775326
2020-04-20,262.744,266.62,261.566,261.785,107678348
2020-04-21,257.278,258.505,252.893,253.844,135941469
2020-04-22,258.782,261.249,257.444,259.48,100595789
2020-04-23,260.782,263.968,259.164,259.461,112626581
2020-04-24,260.993,263.75,258.925,263.086,91605180
